"factual_id";"name";"address";"address_extended";"po_box";"locality";"region";"post_town";"admin_region";"postcode";"country";"tel";"fax";"latitude";"longitude";"neighborhood";"website";"email";"category_ids";"category_labels";"status";"chain_name";"chain_id";"hours";"hours_display";"existence"
"46944025-6092-46d3-a632-bda7725fa98a";"Farzin Farpour";"8268 164th St";"";"";"Jamaica";"NY";"";"";"11432";"us";"(718) 883-3000";"";"40.716802";"-73.803542";"";"";"";"[\"62\"]";"[\"Healthcare\"]";"1";"";"";"";"";"0.6616815076224505"
"3a274b06-a49b-468c-bbfa-7fe42af201d8";"Goebler Pcs Specialist";"12925 Lowden Ln";"";"";"Manchaca";"TX";"";"";"78652";"us";"(512) 292-6209";"";"30.130594";"-97.835568";"";"";"";"";"";"1";"";"";"";"";"0.416062599871611"
"23342d43-faef-495e-8a27-2eee6b56ad7a";"Dubb's Performance Shack";"914 Maine St";"";"";"Vallejo";"CA";"";"";"94590";"us";"(914) 624-6378";"";"38.09903";"-122.245783";"";"";"";"[\"6\"]";"[\"Automotive\",\"Car Parts and Accessories\"]";"1";"";"";"";"";"0.35888718715851553"
"3a21e9bb-6b12-4086-93cd-4034e2383afa";"Florida First Insurance";"6752 Hollywood Blvd";"";"";"Hollywood";"FL";"";"";"33024";"us";"(954) 322-7800";"";"26.009648";"-80.222375";"[\"West Hollywood\"]";"";"";"";"";"1";"";"";"";"";"0.4124701828506376"
"16fe8ec3-e199-458c-b22a-2e4716bf0846";"The Arthritis Center At Hudson Valley Hospital Center";"1968 Crompond Rd";"";"";"Cortlandt Manor";"NY";"";"";"10567";"us";"(914) 734-3600";"";"41.292551";"-73.895183";"";"";"";"[\"62\"]";"[\"Healthcare\"]";"1";"";"";"";"";"0.5992734577222697"
"1c99bcea-49d7-4e2e-b590-3998d2cdc5d8";"Robert Riviello";"75 Francis St";"";"";"Boston";"MA";"";"";"02115";"us";"(617) 921-8674";"";"42.338219";"-71.097679";"";"";"";"[\"90\"]";"[\"Healthcare\",\"Physicians\",\"General Surgery\"]";"1";"";"";"";"";"0.8107187764636653"
"0dd96287-fcd8-4844-8ba8-f5745ad74707";"Walmsley Hughes and Co.";"729 Girod St";"";"";"New Orleans";"LA";"";"";"70130";"us";"(504) 581-3653";"";"29.947609";"-90.072161";"[\"Central Business District\",\"East Bank\"]";"http://www.walmsleyinsurance.com";"";"[\"272\"]";"[\"Services and Supplies\",\"Insurance\"]";"1";"";"";"";"";"0.5288683892824798"
"2c6fbe9f-a88d-45da-84c6-1372a35a3dbd";"David C Nielsen";"4840 N Cloverdale Rd";"";"";"Boise";"ID";"";"";"83713";"us";"(208) 706-8000";"(208) 706-8001";"43.64897";"-116.333933";"[\"West Cloverdale\"]";"";"";"[\"91\"]";"[\"Healthcare\",\"Physicians\",\"Internal Medicine\"]";"1";"";"";"";"";"0.8713522492270623"
"0a2e4509-4eed-45c9-97de-7d0dba5d3ea5";"OMB Investment";"3001 N 2nd St";"";"";"Philadelphia";"PA";"";"";"19133";"us";"(215) 426-5033";"";"39.995967";"-75.133895";"[\"West Kensington\",\"The Badlands\"]";"";"";"";"";"1";"";"";"";"";"0.384151398803925"
"004b3311-c055-4fc3-8546-e24632fae76b";"Rainbow Carpet and Services";"414 Oxford State Rd";"";"";"Middletown";"OH";"";"";"45044";"us";"(513) 425-0025";"(513) 425-0025";"39.479971";"-84.422177";"";"http://www.rainbowcarpet1.com";"";"[\"238\"]";"[\"Services and Supplies\",\"Home Improvement\",\"Carpet and Flooring\"]";"1";"";"";"";"";"0.7024740771037824"
